DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Mar-2026,EQ,"1,515.90","1,531.80","1,500.00","1,526.10","1,515.00","1,514.00","1,514.38","1,831.50","1,358.65",1452053,"2,19,89,57,107.00",81875
12-Mar-2026,EQ,"1,548.00","1,552.30","1,510.00","1,557.40","1,522.00","1,526.10","1,530.57","1,831.50","1,358.65",2352076,"3,60,00,20,247.30",74095
11-Mar-2026,EQ,"1,620.10","1,622.30","1,553.10","1,621.90","1,556.00","1,557.40","1,583.53","1,831.50","1,358.65",1499792,"2,37,49,66,482.50",66233
10-Mar-2026,EQ,"1,606.00","1,632.90","1,593.00","1,583.00","1,631.00","1,621.90","1,619.52","1,831.50","1,358.65",1062910,"1,72,14,05,477.50",57660
09-Mar-2026,EQ,"1,575.00","1,589.40","1,465.00","1,626.30","1,587.60","1,583.00","1,551.39","1,831.50","1,358.65",1756873,"2,72,55,88,660.60",67594
06-Mar-2026,EQ,"1,664.00","1,674.60","1,620.00","1,669.00","1,621.50","1,626.30","1,639.66","1,831.50","1,358.65",1022219,"1,67,60,92,214.50",52577
05-Mar-2026,EQ,"1,655.00","1,690.40","1,639.60","1,653.60","1,668.00","1,669.00","1,661.88","1,831.50","1,358.65",2076383,"3,45,06,90,922.90",72508
04-Mar-2026,EQ,"1,695.90","1,695.90","1,628.10","1,703.70","1,652.30","1,653.60","1,645.33","1,831.50","1,358.65",1509341,"2,48,33,58,089.00",71626
02-Mar-2026,EQ,"1,661.00","1,722.10","1,661.00","1,730.80","1,695.80","1,703.70","1,701.53","1,831.50","1,358.65",985503,"1,67,68,67,726.20",62912
27-Feb-2026,EQ,"1,740.00","1,752.50","1,722.40","1,748.10","1,730.50","1,730.80","1,737.14","1,831.50","1,338.00",1844360,"3,20,39,12,793.30",71308
26-Feb-2026,EQ,"1,754.90","1,774.60","1,628.00","1,754.50","1,745.90","1,748.10","1,704.48","1,831.50","1,338.00",9382761,"15,99,27,60,028.00",298652
25-Feb-2026,EQ,"1,746.00","1,757.00","1,727.60","1,735.10","1,757.00","1,754.50","1,746.19","1,831.50","1,338.00",779164,"1,36,05,66,421.60",43324
24-Feb-2026,EQ,"1,686.30","1,740.00","1,663.40","1,689.80","1,738.00","1,735.10","1,694.20","1,831.50","1,338.00",2032442,"3,44,33,71,378.50",104614
23-Feb-2026,EQ,"1,677.50","1,706.80","1,672.70","1,669.60","1,693.90","1,689.80","1,692.22","1,831.50","1,338.00",731931,"1,23,85,85,937.00",65581
20-Feb-2026,EQ,"1,670.60","1,686.00","1,662.00","1,676.60","1,671.50","1,669.60","1,674.58","1,831.50","1,333.05",643936,"1,07,83,23,471.90",36924
19-Feb-2026,EQ,"1,725.20","1,728.90","1,671.70","1,717.00","1,679.50","1,676.60","1,698.84","1,831.50","1,333.05",947586,"1,60,98,01,274.40",36837
18-Feb-2026,EQ,"1,730.00","1,732.10","1,709.60","1,732.10","1,714.00","1,717.00","1,717.13","1,831.50","1,333.05",1254525,"2,15,41,81,333.50",40450
17-Feb-2026,EQ,"1,713.00","1,737.60","1,695.00","1,714.80","1,730.50","1,732.10","1,719.85","1,831.50","1,333.05",324355,"55,78,42,198.90",25129
16-Feb-2026,EQ,"1,692.00","1,721.40","1,683.80","1,709.40","1,709.00","1,714.80","1,699.74","1,831.50","1,333.05",900028,"1,52,98,09,456.10",38929
13-Feb-2026,EQ,"1,727.30","1,731.00","1,703.00","1,731.80","1,706.70","1,709.40","1,709.64","1,831.50","1,300.60",1544271,"2,64,01,51,547.90",44437
12-Feb-2026,EQ,"1,718.00","1,741.00","1,699.00","1,723.00","1,738.00","1,731.80","1,726.10","1,831.50","1,300.60",1316309,"2,27,20,79,148.00",38011
11-Feb-2026,EQ,"1,732.00","1,736.20","1,714.60","1,726.20","1,718.20","1,723.00","1,725.43","1,831.50","1,300.60",321552,"55,48,15,617.80",17975
10-Feb-2026,EQ,"1,775.00","1,776.70","1,721.60","1,770.20","1,724.40","1,726.20","1,734.60","1,831.50","1,300.60",1161279,"2,01,43,51,003.60",29585
09-Feb-2026,EQ,"1,760.00","1,776.70","1,750.30","1,742.20","1,770.20","1,770.20","1,768.15","1,831.50","1,300.60",1602785,"2,83,39,61,167.60",50161
06-Feb-2026,EQ,"1,711.20","1,748.00","1,701.80","1,722.30","1,741.10","1,742.20","1,723.32","1,831.50","1,239.10",1197294,"2,06,33,21,981.30",40999
05-Feb-2026,EQ,"1,740.00","1,745.00","1,717.10","1,739.50","1,721.60","1,722.30","1,725.25","1,831.50","1,239.10",391219,"67,49,52,317.20",28155
04-Feb-2026,EQ,"1,694.40","1,742.90","1,666.70","1,694.40","1,730.00","1,739.50","1,729.09","1,831.50","1,239.10",2366864,"4,09,25,09,247.20",63016
03-Feb-2026,EQ,"1,689.80","1,740.00","1,674.40","1,594.30","1,696.40","1,694.40","1,701.27","1,831.50","1,239.10",2972692,"5,05,73,53,959.20",95202
02-Feb-2026,EQ,"1,570.90","1,598.20","1,527.00","1,579.50","1,594.00","1,594.30","1,570.05","1,831.50","1,239.10",2789681,"4,37,99,41,149.10",107333
01-Feb-2026,EQ,"1,618.00","1,649.00","1,565.60","1,631.60","1,587.00","1,579.50","1,612.74","1,831.50","1,169.80",674879,"1,08,84,02,317.60",36446
30-Jan-2026,EQ,"1,650.00","1,669.50","1,617.90","1,648.90","1,628.80","1,631.60","1,637.42","1,831.50","1,169.80",1716319,"2,81,03,28,105.90",65211
29-Jan-2026,EQ,"1,629.00","1,658.80","1,607.40","1,636.80","1,651.60","1,648.90","1,627.37","1,831.50","1,169.80",2289696,"3,72,61,85,578.00",70688
28-Jan-2026,EQ,"1,650.90","1,653.00","1,630.10","1,639.70","1,637.00","1,636.80","1,639.39","1,831.50","1,169.80",1066301,"1,74,80,87,126.60",46457
27-Jan-2026,EQ,"1,648.70","1,666.40","1,623.80","1,643.20","1,642.50","1,639.70","1,641.62","1,831.50","1,169.80",1673143,"2,74,66,61,533.00",57349
23-Jan-2026,EQ,"1,664.00","1,667.00","1,638.30","1,664.00","1,648.70","1,643.20","1,654.49","1,831.50","1,169.80",1068908,"1,76,85,00,865.00",47662
22-Jan-2026,EQ,"1,631.10","1,669.60","1,628.90","1,627.80","1,664.00","1,664.00","1,652.85","1,831.50","1,169.80",1241584,"2,05,21,50,151.70",54274
21-Jan-2026,EQ,"1,640.00","1,660.50","1,617.70","1,649.90","1,628.00","1,627.80","1,632.17","1,831.50","1,169.80",1024168,"1,67,16,20,410.50",47414
20-Jan-2026,EQ,"1,700.20","1,702.30","1,644.20","1,700.40","1,647.20","1,649.90","1,666.90","1,831.50","1,169.80",1974356,"3,29,10,46,474.40",98399
19-Jan-2026,EQ,"1,698.00","1,726.20","1,691.00","1,699.20","1,704.20","1,700.40","1,707.67","1,831.50","1,169.80",1233939,"2,10,71,55,933.30",42586
16-Jan-2026,EQ,"1,689.50","1,707.90","1,676.90","1,689.50","1,698.40","1,699.20","1,688.66","1,831.50","1,169.80",2796464,"4,72,22,68,041.00",111890
14-Jan-2026,EQ,"1,690.10","1,714.70","1,681.00","1,701.10","1,692.60","1,689.50","1,695.31","1,831.50","1,169.80",2111292,"3,57,93,00,610.50",61393
13-Jan-2026,EQ,"1,716.00","1,726.70","1,691.00","1,710.80","1,700.10","1,701.10","1,702.93","1,831.50","1,169.80",1914112,"3,25,96,08,081.40",56148
12-Jan-2026,EQ,"1,715.00","1,730.90","1,693.30","1,717.10","1,707.90","1,710.80","1,706.96","1,831.50","1,169.80",2424388,"4,13,83,26,007.20",56355
09-Jan-2026,EQ,"1,754.00","1,763.30","1,709.90","1,754.00","1,722.00","1,717.10","1,727.05","1,831.50","1,169.80",1493038,"2,57,85,45,111.30",36302
08-Jan-2026,EQ,"1,790.00","1,790.00","1,735.50","1,786.50","1,755.00","1,754.00","1,752.82","1,831.50","1,169.80",1408255,"2,46,84,13,467.60",49431
07-Jan-2026,EQ,"1,809.80","1,809.80","1,778.10","1,805.40","1,785.10","1,786.50","1,787.47","1,831.50","1,169.80",656441,"1,17,33,68,918.50",42292
06-Jan-2026,EQ,"1,775.00","1,831.50","1,775.00","1,772.40","1,800.00","1,805.40","1,811.50","1,831.50","1,169.80",1783196,"3,23,02,65,746.30",67654
05-Jan-2026,EQ,"1,782.00","1,785.00","1,761.40","1,781.10","1,773.50","1,772.40","1,770.69","1,789.10","1,169.80",716553,"1,26,87,94,327.30",32784
02-Jan-2026,EQ,"1,728.50","1,789.10","1,718.70","1,724.00","1,779.90","1,781.10","1,767.90","1,789.10","1,169.80",1793036,"3,16,99,11,590.30",64961
01-Jan-2026,EQ,"1,707.10","1,727.50","1,698.70","1,702.20","1,723.70","1,724.00","1,716.19","1,782.00","1,169.80",390859,"67,07,86,779.90",16247
31-Dec-2025,EQ,"1,702.00","1,712.80","1,688.50","1,701.50","1,700.10","1,702.20","1,699.94","1,782.00","1,169.80",707240,"1,20,22,67,719.90",43339
30-Dec-2025,EQ,"1,686.00","1,715.90","1,679.00","1,698.80","1,704.30","1,701.50","1,696.13","1,782.00","1,169.80",3270983,"5,54,80,14,827.00",83197
29-Dec-2025,EQ,"1,697.00","1,700.70","1,680.50","1,698.00","1,697.30","1,698.80","1,693.34","1,782.00","1,169.80",1016727,"1,72,16,64,038.70",47469
26-Dec-2025,EQ,"1,697.80","1,712.40","1,694.80","1,697.80","1,699.90","1,698.00","1,700.98","1,782.00","1,168.00",1309836,"2,22,80,01,374.00",37356
24-Dec-2025,EQ,"1,678.50","1,708.10","1,669.40","1,678.50","1,699.70","1,697.80","1,695.40","1,782.00","1,168.00",1861216,"3,15,55,09,814.30",52823
23-Dec-2025,EQ,"1,605.00","1,713.40","1,595.80","1,584.90","1,678.40","1,678.50","1,683.07","1,782.00","1,168.00",7716481,"12,98,73,41,360.10",184892
22-Dec-2025,EQ,"1,648.00","1,648.10","1,554.70","1,648.10","1,585.00","1,584.90","1,607.73","1,782.00","1,168.00",5780153,"9,29,29,53,301.60",151486
19-Dec-2025,EQ,"1,684.80","1,694.30","1,614.20","1,679.00","1,638.80","1,648.10","1,641.81","1,782.00","1,168.00",2356435,"3,86,88,19,972.00",74624
18-Dec-2025,EQ,"1,678.80","1,690.40","1,661.10","1,673.50","1,683.00","1,679.00","1,677.75","1,782.00","1,168.00",744184,"1,24,85,57,140.80",33622
17-Dec-2025,EQ,"1,710.00","1,731.80","1,667.10","1,715.40","1,672.20","1,673.50","1,684.95","1,782.00","1,168.00",1133450,"1,90,98,05,719.70",57257
16-Dec-2025,EQ,"1,739.00","1,739.40","1,703.00","1,733.70","1,707.00","1,715.40","1,719.72","1,782.00","1,168.00",504325,"86,72,97,553.60",43071
15-Dec-2025,EQ,"1,734.00","1,740.10","1,710.00","1,735.60","1,735.00","1,733.70","1,723.79","1,782.00","1,168.00",1622531,"2,79,69,04,509.00",48878
12-Dec-2025,EQ,"1,719.40","1,740.40","1,703.80","1,719.40","1,734.00","1,735.60","1,720.63","1,782.00","1,168.00",2309890,"3,97,44,66,128.30",52069
11-Dec-2025,EQ,"1,744.90","1,745.90","1,716.30","1,744.00","1,720.00","1,719.40","1,727.69","1,782.00","1,168.00",1613630,"2,78,78,60,171.90",46771
10-Dec-2025,EQ,"1,725.00","1,757.40","1,721.60","1,731.20","1,744.90","1,744.00","1,745.44","1,782.00","1,168.00",1194602,"2,08,51,04,179.60",43890
09-Dec-2025,EQ,"1,710.00","1,735.20","1,690.00","1,724.40","1,732.10","1,731.20","1,717.91","1,782.00","1,168.00",1381604,"2,37,34,77,344.10",65173
08-Dec-2025,EQ,"1,730.00","1,759.80","1,708.90","1,730.40","1,721.00","1,724.40","1,732.55","1,782.00","1,168.00",1060177,"1,83,68,07,113.90",43248
05-Dec-2025,EQ,"1,675.70","1,734.80","1,671.00","1,675.70","1,732.00","1,730.40","1,713.00","1,782.00","1,168.00",1344984,"2,30,39,57,734.80",71042
04-Dec-2025,EQ,"1,666.00","1,678.80","1,651.00","1,668.90","1,676.90","1,675.70","1,665.36","1,782.00","1,168.00",1291711,"2,15,11,63,888.90",67865
03-Dec-2025,EQ,"1,701.00","1,710.90","1,662.30","1,711.60","1,673.00","1,668.90","1,676.38","1,782.00","1,168.00",898959,"1,50,69,96,707.40",42776
02-Dec-2025,EQ,"1,715.00","1,739.50","1,704.50","1,724.90","1,714.90","1,711.60","1,716.84","1,782.00","1,168.00",638234,"1,09,57,46,324.10",47282
01-Dec-2025,EQ,"1,748.00","1,749.00","1,717.40","1,736.00","1,723.50","1,724.90","1,728.03","1,782.00","1,168.00",1110164,"1,91,83,97,365.80",55773
28-Nov-2025,EQ,"1,722.00","1,749.80","1,714.20","1,724.60","1,736.10","1,736.00","1,738.28","1,782.00","1,168.00",963424,"1,67,46,99,701.50",39599
27-Nov-2025,EQ,"1,712.90","1,749.80","1,710.60","1,712.90","1,730.50","1,724.60","1,728.76","1,782.00","1,168.00",1544531,"2,67,01,25,237.00",51458
26-Nov-2025,EQ,"1,688.00","1,725.80","1,686.00","1,685.40","1,713.10","1,712.90","1,710.52","1,782.00","1,168.00",908178,"1,55,34,56,964.10",38297
25-Nov-2025,EQ,"1,651.70","1,689.50","1,651.70","1,651.70","1,687.80","1,685.40","1,678.92","1,782.00","1,168.00",1092627,"1,83,44,30,756.00",43010
24-Nov-2025,EQ,"1,658.90","1,698.70","1,647.20","1,659.70","1,651.00","1,651.70","1,667.83","1,782.00","1,168.00",2099027,"3,50,08,23,702.30",61457
21-Nov-2025,EQ,"1,682.30","1,705.40","1,655.00","1,703.20","1,656.00","1,659.70","1,669.20","1,782.00","1,168.00",1888141,"3,15,16,89,648.50",71662
20-Nov-2025,EQ,"1,687.30","1,709.00","1,670.20","1,678.10","1,708.00","1,703.20","1,695.46","1,782.00","1,168.00",880665,"1,49,31,35,520.90",48422
19-Nov-2025,EQ,"1,699.60","1,699.60","1,670.00","1,695.30","1,677.50","1,678.10","1,678.67","1,782.00","1,168.00",1108061,"1,86,00,74,209.10",100338
18-Nov-2025,EQ,"1,709.00","1,709.00","1,678.60","1,699.70","1,702.60","1,695.30","1,694.88","1,782.00","1,168.00",1069184,"1,81,21,38,379.40",38947
17-Nov-2025,EQ,"1,724.00","1,724.00","1,695.80","1,714.60","1,695.90","1,699.70","1,704.80","1,782.00","1,168.00",888281,"1,51,43,43,430.10",51791
14-Nov-2025,EQ,"1,710.60","1,726.90","1,705.10","1,710.60","1,712.00","1,714.60","1,713.73","1,782.00","1,168.00",912397,"1,56,36,06,234.30",28158
13-Nov-2025,EQ,"1,702.50","1,719.50","1,701.20","1,718.80","1,712.70","1,710.60","1,711.81","1,782.00","1,168.00",831622,"1,42,35,76,506.80",39621
12-Nov-2025,EQ,"1,743.70","1,757.00","1,710.70","1,741.80","1,716.00","1,718.80","1,730.56","1,782.00","1,168.00",1343153,"2,32,44,03,397.90",78683
