Day,Forecast_Price
1,1525.8005760293352
2,1535.7145110345052
3,1544.0434355753416
4,1551.0407564142185
5,1556.9193663934686
6,1561.8581216805114
7,1566.0072834502814
8,1569.493089567642
9,1572.4215953628025
10,1574.881900354975
11,1576.9488590970448
12,1578.68535861845
13,1580.1442317572632
14,1581.3698645944255
15,1582.3995468961728
16,1583.2646066517405
17,1583.9913632245525
18,1584.6019281164297
19,1585.1148777079973
20,1585.545818443355
21,1585.9078616547033
22,1586.2120224734165
23,1586.467554964402
24,1586.6822336801736
25,1586.8625902008944
26,1587.0141118571032
27,1587.141408681241
28,1587.2483536674629
29,1587.3382006071288
30,1587.4136830851069
